GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.search,ObjectFields,52,0,0,0,22,0,15,0,15,0
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.search,FieldSearchResult,0,42,0,0,0,17,0,9,0,9
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.management,DatastreamProfile,0,3,0,0,0,2,0,1,0,1
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.management,NamespaceListing,9,0,0,0,5,0,2,0,2,0
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.management,DatastreamProfile.DatastreamControlGroup,5,43,0,0,0,2,1,3,1,3
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.management,DatastreamProfile.DatastreamStates,5,43,0,0,0,2,1,3,1,3
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.management,DatastreamProfile.DSStores,35,0,2,0,10,0,3,0,2,0
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.management,NamespaceListing.Namespace,12,0,0,0,6,0,2,0,2,0
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.management,NextPid,3,6,0,0,2,3,1,1,1,1
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.management,DatastreamHistory,9,0,0,0,5,0,2,0,2,0
fcrepo 3.x compatible HTTP API,org.fcrepo.legacy,FedoraObjects,42,185,1,5,5,32,3,9,2,7
fcrepo 3.x compatible HTTP API,org.fcrepo.legacy,FedoraRepository,12,154,0,6,6,28,3,8,3,5
fcrepo 3.x compatible HTTP API,org.fcrepo.legacy,FedoraFieldSearch,36,156,3,1,12,31,3,7,1,7
fcrepo 3.x compatible HTTP API,org.fcrepo.legacy,FedoraDatastreams.new Function() {...},6,21,0,0,2,3,0,2,0,2
fcrepo 3.x compatible HTTP API,org.fcrepo.legacy,FedoraDatastreams,105,530,9,19,11,97,9,19,2,12
fcrepo 3.x compatible HTTP API,org.fcrepo.legacy,FedoraNamespaces,150,0,4,0,26,0,8,0,6,0
fcrepo 3.x compatible HTTP API,org.fcrepo.legacy,FedoraIdentifiers,4,18,0,0,2,2,1,2,1,2
fcrepo 3.x compatible HTTP API,org.fcrepo.legacy,LegacyPathHelpers,3,29,0,0,1,3,1,3,1,3
fcrepo 3.x compatible HTTP API,org.fcrepo.provider,VelocityViewer,19,73,0,0,8,17,0,4,0,4
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.access,DescribeRepository,32,21,2,0,15,7,9,5,8,5
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.access,ObjectDatastreams.DatastreamElement,3,12,0,0,2,5,1,1,1,1
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.access,ObjectProfile.ObjectStates,5,43,0,0,0,2,1,3,1,3
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.access,ObjectDatastreams,0,3,0,0,0,2,0,1,0,1
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.access,DescribeCluster,97,0,0,0,32,0,16,0,16,0
fcrepo 3.x compatible HTTP API,org.fcrepo.jaxb.responses.access,ObjectProfile,0,3,0,0,0,2,0,1,0,1
